"swt","sr","st100","st255","sm100","sm255","doc_gwlf","cyday"
6.68098,35.45833333,6.28625,8.019583333,0.422833333,0.41875,7.505,0.945518575599317
6.522097,40.79166667,6.075833258,7.982083333,0.420958333,0.419,6.265,0.939692620785908
6.435361,30.125,5.69874995,7.936249888,0.418833333,0.419,5.82,0.933580426497202
6.296648,42.45833333,5.342499938,7.882083171,0.4165,0.419,5.589,0.927183854566787
6.164503,43,5.0049999,7.82375,0.414083333,0.419,5.485,0.92050485345244
5.99613,29.66666667,4.748749938,7.757083333,0.41175,0.419,5.392,0.913545457642601
5.985524,10.91666667,4.665416429,7.686249888,0.41,0.419,6.573,0.90630778703665
6.134706,15.54166667,4.798749988,7.623749888,0.41075,0.419,8.905,0.898794046299167
6.017308,31.29166667,4.977916617,7.565416667,0.418708333,0.419,8.05,0.891006524188368
6.092278,28.08333333,5.088333283,7.51125,0.420416667,0.419,7.393,0.882947592858927
6.171436,19.375,5.302916617,7.459166667,0.422,0.419,7.898,0.874619707139396
6.135092,47.16666667,5.559166629,7.411249738,0.422,0.419583333,7.928,0.866025403784439
6.155465,52.70833333,5.709166592,7.373749888,0.423291667,0.42,7.46,0.857167300702112
6.116825,56.08333333,5.8175,7.344583333,0.422625,0.420333333,5.748,0.848048096156426
6.10611,43.95833333,5.83,7.305,0.421125,0.421,5.546,0.838670567945424
6.268624,28.20833333,5.840416617,7.271666667,0.419583333,0.421,5.461,0.829037572555042
6.126759,49.91666667,6.044583333,7.255,0.418125,0.421,5.307,0.819152044288992
5.935633,48.875,6.027916667,7.21125,0.416333333,0.420541667,5.649,0.809016994374947
5.851595,63.66666667,5.921666492,7.202916654,0.41475,0.42,5.4,0.798635510047293
5.868657,47.875,5.794583333,7.1549997,0.413458333,0.42,5.457,0.788010753606722
5.925089,68.5,5.784166667,7.134166492,0.412708333,0.42,5.295,0.777145961456971
5.983341,32.58333333,5.946666567,7.105,0.411375,0.42,5.031,0.766044443118978
6.029713,40.95833333,6.159166579,7.082083333,0.41125,0.42,5.036,0.754709580222772
6.024933,41.91666667,6.255,7.055,0.414875,0.419291667,5.237,0.743144825477394
6.019449,40.29166667,6.200833233,7.055,0.415208333,0.419,5.211,0.731353701619171
6.162017,13.875,6.169583121,7.0175,0.414791667,0.419,6.561,0.719339800338651
6.160123,70.625,6.290416667,7.005,0.416375,0.419,5.474,0.707106781186548
6.202796,65.29166667,6.344583333,7.005,0.41575,0.419,5.212,0.694658370458997
6.306136,47.125,6.419583233,6.975833333,0.41425,0.419,5.037,0.681998360062498
6.344871,73.08333333,6.632083258,6.955,0.412041667,0.419,4.938,0.669130606358858
6.290074,81.04166667,6.732083333,6.955,0.409666667,0.419,4.852,0.656059028990507
6.256224,81.91666667,6.705,6.955,0.407041667,0.418291667,4.831,0.642787609686539
6.194178,80.75,6.648749938,6.955,0.4045,0.418,4.869,0.629320391049838
6.03742,97.45833333,6.502916654,6.955,0.402041667,0.418,4.962,0.615661475325658
5.921726,110.75,6.242499925,6.950833308,0.400041667,0.417458333,5.113,0.601815023152048
5.88686,66.41666667,5.873749963,6.9049997,0.400208333,0.417,5.325,0.587785252292473
5.802713,117.6666667,5.479999938,6.892499775,0.398666667,0.417,5.603,0.573576436351046
5.731647,117.8333333,5.017499925,6.855,0.396875,0.416208333,5.958,0.559192903470747
5.741035,112.2916667,4.563333296,6.809166667,0.394458333,0.416,6.402,0.544639035015027
5.791003,60.75,4.2425,6.750833333,0.392291667,0.415625,6.959,0.529919264233205
5.799174,72.58333333,4.2425,6.694583271,0.3905,0.415,7.672,0.515038074910054
5.885424,82.95833333,4.477916642,6.644583096,0.388458333,0.414875,7.617,0.5
6.142169,84.54166667,4.802916604,6.605,0.386583333,0.414,6.93,0.484809620246337
5.960933,81.20833333,5.034166667,6.555,0.38475,0.413916667,6.03,0.469471562785891
